M_F,M,F
2.3429426431981035e-133,1.6837123837918763e-49,3.646500750457232e-86
0.6488234383797722,0.3013295590288837,0.13641853355672937
1.5164598920581322e-102,3.37204771301222e-46,3.3846642868619204e-58
2.0495166884335173e-27,6.52326405932956e-09,1.0655491248922459e-20
4.862741584023396e-80,5.093808153037692e-27,2.7261060604837783e-55
5.693561170249043e-57,5.381640598755221e-21,7.830608166063027e-38
1.2628536797662883e-22,4.1277329395473235e-06,4.642527173865071e-19
4.175535829254754e-08,0.0006927156329125872,1.644264958957143e-05
1.5614720448779065e-25,1.981482027075462e-16,2.2118872014984928e-11
0.5961121813413244,0.4050106187564606,0.9688025257344463
1.619174466869789e-05,0.05735902626411249,5.00599487200446e-05
1.711534478804154e-51,1.7738179229281124e-20,7.66096275866299e-33
0.3695966526106047,0.5758604530087301,0.08435006921110454
9.801787557436093e-36,1.2844710943183606e-15,9.868161522943243e-22
3.3236563261585597e-18,2.8004487908677567e-09,2.1059224880953874e-10
1.5330799467665132e-24,6.373170596670503e-07,1.6736249395275826e-20
7.081599445477855e-34,2.709997292811795e-14,3.403059927201668e-21
3.066348456175239e-53,4.127233732798162e-20,7.491708887632269e-35
5.537549349813445e-16,1.08866196499725e-13,3.591479908024411e-05
5.485738134052563e-74,4.262851313504235e-27,5.437607116296406e-49
3.476586808334493e-17,6.624442837617418e-06,3.4364614218687457e-13
9.980075473728149e-05,0.020284782193514317,0.0017105259253559397
2.4444224997616414e-95,5.678016708011105e-42,3.869588851126187e-55
1.333871266554244e-33,1.9409255746482857e-15,9.542860986392613e-20
1.7651887670258047e-28,5.5492011884778985e-14,4.2237182290739545e-16
1.7356165959341805e-38,7.502288086159665e-14,1.1781246196244739e-26
0.090863444971183,0.021234847182276643,0.8307222628336464
1.6154188801599233e-54,1.4281339837218232e-23,1.300755912260991e-32
6.544419708546597e-29,3.305430535042978e-13,2.865617113538068e-17
1.1926184701798233e-74,4.0007050020758597e-29,2.0531568295447046e-47
0.14962976160099006,0.5132764769804146,0.17618977325298746
3.1067704345772308e-143,6.635484903788074e-51,4.3276474333306336e-95
1.9122745934292377e-21,6.706226917158501e-10,4.617328706894592e-13
0.2955019605490138,0.019826127960767354,0.5276635968368224
0.10064356700334691,0.4625548099704122,0.12603198426673454
4.388658271317367e-94,1.4547049224254364e-43,1.833409336632875e-52
6.534706865115685e-73,5.46500969932567e-34,1.1106027794624074e-40
2.0935214667550982e-11,2.602211528952231e-07,1.1731502428754564e-05
0.0019511977429352066,0.03747712674809918,0.02182166769501584
2.862826285732312e-35,5.468835044917032e-16,7.090176340203894e-21
