M_F,M,F
6.515887656855908e-125,8.916126864918441e-63,2.2590726868781546e-64
2.869816577513009e-54,1.662125086748525e-36,3.528811434321491e-21
2.044473112904953e-78,6.83886871092516e-39,2.3567022529963407e-41
9.76493836664249e-13,9.990429566114861e-06,1.847469164125836e-08
1.2298671815794265e-34,6.47443958416073e-15,2.4292982971142736e-21
1.2941535369525157e-113,1.0642278717926468e-61,2.1062805608865285e-54
1.4999385934634613e-10,0.02579774968954957,4.8417931708631634e-11
6.726224926568856e-20,7.746410164450513e-07,5.315119419439459e-15
3.943339776665546e-24,7.424927872086079e-15,6.131789531774243e-11
2.489264872020348e-25,4.709571442915829e-20,2.1386346710554302e-08
4.720198862734982e-13,2.2624884890991376e-06,4.191066702708359e-08
3.193703516350213e-50,1.3206518195623122e-20,2.2482441653513012e-31
0.4718623099355942,0.46657283987333054,0.09972894313700623
1.9591432895076455e-28,2.014573525193027e-07,4.563759119983398e-25
8.946280199490688e-19,4.973098675052755e-05,5.516634299407281e-17
0.7441419071552452,0.8181372115816872,0.8161336123308149
0.07053645116299671,0.09419587509576836,0.3658435663731021
3.600133398401483e-74,1.0288667971743443e-42,9.048242745979227e-34
0.0005541653937609452,0.017551024120869875,0.012277651479246851
5.913760284546943e-148,4.217912645636901e-81,9.792545532941214e-70
5.32749292376039e-72,5.165317869393983e-38,5.53998188960963e-36
0.14564141672916223,0.027340856434795554,0.9196456696955366
2.730943654686545e-174,1.7178100017355462e-84,1.1741990547574901e-91
2.5237170717830348e-20,1.0778931941766781e-09,3.7184068962645735e-12
4.042966666933325e-08,0.012812898701771635,2.4469496102311865e-07
1.6506308898509375e-19,1.391375164361389e-06,1.8803550176306e-15
8.404446368337577e-06,0.0001774107542037577,0.009951291792145621
5.015530331653374e-49,4.388268386598947e-26,1.2278856125283378e-24
1.7456500838391524e-59,5.286258054450717e-29,3.2835586848823576e-32
1.5016682189726025e-99,2.5239465585914353e-49,5.027535430906344e-52
0.0002929412356483677,1.0292968264186631e-07,0.9182622320703213
1.1403544365067123e-80,1.4280132044536413e-33,1.947643772681223e-49
7.81818392586056e-54,1.1808850978684477e-22,2.0561127374772973e-33
3.6990449463276223e-87,3.072284186077292e-51,1.7346484890439326e-38
1.0929093773045323e-16,1.6413133104862245e-12,1.7083548213940013e-06
8.417451286652476e-129,6.468072542215887e-66,6.981611726348172e-65
5.831951551496571e-105,1.9316392328394403e-45,1.5490420090324342e-61
6.393367389290487e-27,2.8658030433924947e-16,2.6626281576008723e-12
4.914484513388981e-29,2.335704178214556e-17,2.530597910766248e-13
8.063207507116385e-59,3.961420816375167e-28,1.595715401391416e-32
3.169699327812029e-79,3.076485886941732e-51,9.650936388110112e-32
0.0004297232312278874,0.08523694371460352,0.0011257505160830574
2.410443498947714e-70,6.157316918454823e-36,3.464615816378156e-36
0.005924831485897193,0.13459127981072772,0.01608867425105727
1.9144810463324575e-10,0.004137499838090947,1.0260199984246766e-09
4.992457482572413e-28,7.055342618538686e-19,1.6530927077081344e-11
8.143271833986383e-05,5.245499988910572e-07,0.5173217426071866
0.08761755315866301,0.7459380549986367,0.03577517033951077
5.132637227722317e-15,5.407006661066186e-06,1.3254028990431905e-10
0.6194584272227945,0.6415675582079936,0.8079369384899697
2.3580460408233516e-43,4.528971289782062e-22,6.335280703500893e-23
8.877800590575789e-17,5.983878606680689e-06,8.633975518632545e-13
1.3961993211963126e-19,3.3013632226765052e-12,4.536903005201631e-09
8.794155511208642e-08,7.4979267763058e-05,0.00029906930513104554
4.974132734289905e-47,2.4785756106471645e-21,1.866418741992576e-27
1.8915426469335643e-42,1.869569529153818e-26,3.3340343274464394e-18
6.365044804823749e-19,2.318692791416674e-13,8.283001593446538e-08
5.654849754213066e-07,0.0007960243541906095,0.0002087476027627935
0.30842902119377813,0.5200875525205582,0.0403238037536348
3.753143861583305e-20,8.518835546618971e-08,1.9731746481739296e-14
0.15343085017226896,0.940464545210677,0.0372597565769957
8.691301405599447e-19,1.4274203039414542e-07,5.28123455802464e-13
1.4154543434214803e-49,4.504685809842927e-27,2.2995337008164044e-24
