M_F,M,F
0.31836063860869285,0.05082437180340857,0.6704127760738732
2.616194924441065e-05,0.00035394118058780624,0.01759882487013729
1.4333169074659186e-28,3.504658990662369e-13,5.600953695025275e-17
1.2522346209035793e-05,0.0006030618813113863,0.005965407099331203
0.12773404192999974,0.08654405439577582,0.6092224525290117
0.003078617244019797,0.02997887382491781,0.043698198111941894
1.5548943529299363e-46,6.87385961410269e-24,2.647895234225405e-24
1.7093481713427728e-44,4.994143345261706e-26,8.696113693220368e-21
5.105960553065204e-35,2.4475580693559183e-17,2.8772231308937444e-19
0.1503481756049906,0.9965458978026431,0.05240260251094792
1.5294505580482793e-11,1.6018737932118045e-05,2.2031198804978926e-07
0.008126097440268928,0.009914360290731698,0.22791171620699438
0.5835177235938886,0.5005203667289875,0.889724899169648
0.518323077503825,0.11006238828167354,0.020468968923410425
6.690567430334583e-31,9.040337325802091e-12,6.1069853812154304e-21
5.347054431258613e-08,0.0740793158256898,8.385669876379403e-09
0.031554461031898226,0.03438679558427104,0.3141870700353619
0.0911999467610088,0.819602638255531,0.04824516232386735
1.4040448657584383e-09,0.0013718837993509112,7.352655415215883e-08
1.8043516780947609e-10,2.0893691720259093e-05,2.083832313970695e-06
7.215600858600486e-14,1.711825841957271e-08,7.2757316569654e-07
0.005603313126503332,0.00020441221732318704,0.7469871470913355
2.9591141369478228e-18,3.555041765330556e-10,1.274094617160214e-09
1.868656364018803e-46,4.443595658093789e-20,4.14020089769803e-28
2.1493719741596924e-16,2.1445511147641106e-10,1.0515011333187055e-07
8.234967480339028e-48,1.2128799603497834e-23,8.41754095333237e-26
4.6305584764396e-34,2.1859883753889373e-14,2.2586073617394706e-21
6.880541918770735e-13,5.161447672131592e-07,2.902384735904397e-07
0.003961863430255842,0.07456786968921188,0.022834648905082407
0.024134809027588452,0.0886884154929612,0.1357987713582977
0.05441171020219901,0.07995320925966237,0.34016606976247044
2.4052258830989533e-27,2.9315794283847926e-14,1.2086295399840518e-14
0.22454528192448256,0.662685042960161,0.20187770773944905
0.03510551845252906,0.6500440736212116,0.012494599655674916
7.542363155194449e-56,5.214725970003396e-19,9.897629752568177e-40
1.346062551162061e-113,1.5687091533579306e-48,4.6266808782181654e-67
0.6755730523595087,0.09833285745234449,0.3657134242057436
0.00014066775145647872,0.03631592671836932,0.0012645520386681127
3.971477352067153e-31,6.264286661210064e-12,3.1912537976430975e-21
5.549938429124119e-28,1.6135946154070506e-12,4.702904397922709e-17
9.535682132886476e-05,0.0012922453808943317,0.020952250844409683
0.44413463608089154,0.04469402809503397,0.40652394267194736
2.1410539884074768e-79,1.3146100049577357e-31,3.346876900998644e-50
2.0382508147337162e-12,0.0014970395964033613,4.480177259873543e-11
0.000147999407797083,0.00027738510278315216,0.07295121748981548
0.9535116011928807,0.49081372966540726,0.5824401074725306
7.228395753016964e-11,8.901428639349522e-07,1.6931531020798132e-05
0.13371709361400327,0.10991797435220087,0.5794278505111251
1.3171874172049379e-08,0.00997749372895586,9.350304094201632e-08
0.4270794837249946,0.32423712445903763,0.05095865167221004
1.108359618372538e-06,3.2015128329448147e-05,0.007349090821401063
2.3872286029791674e-12,1.2312896834539593e-08,2.4829316887053272e-05
1.0344349838606917e-20,2.3588746393585845e-08,4.137738959202183e-14
8.717023961076843e-13,5.473809576916799e-10,5.3182044786756206e-05
4.883079393076256e-14,3.598441617415678e-09,2.1042519367610405e-06
1.181774888284901e-58,9.130002280511273e-25,8.461033816913064e-36
9.164222490465125e-12,1.4169539267626258e-06,1.406602971978861e-06
3.3508020535116615e-05,0.0004487034946970849,0.01648835011833158
4.019798496795122e-10,0.00032760139547917335,1.7894963605636464e-07
0.12968395683464917,0.16198655036718965,0.46019535170525416
2.5000421502243717e-08,0.0006946073076562122,8.481520568496828e-06
0.005013209038227,0.8878361862141104,0.00015931414806836792
1.8526462497771582e-30,3.588849288440387e-14,4.601303754357159e-18
9.225324439861641e-09,0.005761768070717977,1.1779374702828468e-07
0.0004320449811382004,0.00027253356029788924,0.1425505659054489
1.9173856334035372e-16,5.68764322733133e-07,5.625057326585882e-11
4.22870190766911e-96,5.903931527360412e-30,8.007289757436078e-72
1.9793364385231627e-07,0.0025132472774219536,1.9492478543353536e-05
0.11083712653509949,0.6259646637548504,0.009196178426774051
0.0059431462305453864,0.9440456109244333,0.00023676177490817131
5.516271029836668e-139,6.465513192451511e-69,5.660902407015085e-72
8.060498497738716e-20,1.5867491435256716e-17,1.1770847994610218e-05
1.199035711897634e-25,1.2980169569402483e-15,7.460083375110052e-12
5.17836383722527e-05,0.9563314623303918,2.1643266469261728e-08
1.1095525997391705e-06,0.007627888158856521,3.618437092646389e-05
1.1092002968305761e-21,2.9236123847871662e-06,2.04882106632757e-18
5.17424230394625e-32,8.751955719500459e-13,3.916376514629267e-21
1.2370724519540355e-16,1.4042227956892315e-11,6.808229420640072e-07
1.281178641930713e-11,2.4115595720771225e-07,9.961513985566926e-06
