node1_name,node2_name,edge_name,edge_value
Temporal_MTG-40,Parietal_IPL-68,Temporal_MTG-40-Parietal_IPL-68,-0.1738198855369658
Parietal_IPL-72,Insular_INS-86,Parietal_IPL-72-Insular_INS-86,-0.15135212965024492
Frontal_SFG-1,Frontal_SFG-6,Frontal_SFG-1-Frontal_SFG-6,-0.1278147551491643
Frontal_MFG-7,Insular_INS-86,Frontal_MFG-7-Insular_INS-86,0.10206925219183319
Frontal_PrG-28,Parietal_PoG-80,Frontal_PrG-28-Parietal_PoG-80,0.10642476877146197
Frontal_MFG-7,Frontal_IFG-18,Frontal_MFG-7-Frontal_IFG-18,0.11247065223402564
