node1_name,node2_name,edge_name,edge_value
Frontal_MFG-11,Parietal_IPL-68,Frontal_MFG-11-Parietal_IPL-68,-0.11402973262020753
Frontal_SFG-1,Frontal_SFG-6,Frontal_SFG-1-Frontal_SFG-6,-0.10823749707461194
Frontal_MFG-11,Temporal_MTG-40,Frontal_MFG-11-Temporal_MTG-40,-0.08910949536719726
Occipital_MVOcC-96,Occipital_LOcC-99,Occipital_MVOcC-96-Occipital_LOcC-99,-0.08711978855489345
Frontal_SFG-2,Frontal_IFG-18,Frontal_SFG-2-Frontal_IFG-18,-0.08185864306528716
Frontal_MFG-11,Parietal_IPL-72,Frontal_MFG-11-Parietal_IPL-72,0.0786743137113618
