node1_name,node2_name,edge_name,edge_value
Temporal_MTG-40,Parietal_IPL-68,Temporal_MTG-40-Parietal_IPL-68,-0.1693894054119925
Parietal_Pcun-75,Limbic_CG-90,Parietal_Pcun-75-Limbic_CG-90,-0.1250016479890186
Frontal_MFG-7,Frontal_OrG-20,Frontal_MFG-7-Frontal_OrG-20,-0.12116594895316406
Frontal_SFG-4,Frontal_PrG-29,Frontal_SFG-4-Frontal_PrG-29,0.09915024046748128
Frontal_MFG-7,Insular_INS-86,Frontal_MFG-7-Insular_INS-86,0.12302568030824108
Frontal_MFG-7,Frontal_IFG-18,Frontal_MFG-7-Frontal_IFG-18,0.16062414462803726
